Middle Schools,,High Schools
Adams,,Alonso
Barrington,,Armwood
Benito,,Blake
Buchanan,,Bloomingdale
Burnett,,Brandon
Burns,,Chamberlain
Coleman,,Durant
Davidsen,,East Bay
Dowdell,,Freedom
Eisenhower,,Gaither
Farnell,,Hillsborough
Ferrell Girls Preparatory Academy,,Jefferson
Franklin Boys Preparatory Academy,,King
Giunta,,Lennard
Greco,,Leto
Hill,,Middleton
Jennings,,Newsome
Liberty,,Plant
Madison,,Plant City
Mann,,Riverview High
Marshall,,Robinson High
Martinez,,Sickles
McLane,,Spoto
Memorial,,Steinbrenner
Monroe,,Strawberry Crest
Mulrennan,,Tampa Bay Tech.
Orange Grove,,
Pierce,,
Progress Village,,
Randall,,
Rodgers,,
Shields,,
Sligh,,
Smith,,
Stewart,,
Tomlin,,
Turkey Creek,,
Van Buren,,
Walker,,
Webb,,
Williams,,
Wilson Middle,,
Young,,

